ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %
FR0013452281;ALAGP.PA;Utilities;Utilities - Renewable;https://www.agripower-france.com/;Agripower France Société Anonyme;1.33;1.83;0.73;1.2;1.2;0.88;0.0
LU0569974404;APAM.AS;Basic Materials;Steel;https://www.aperam.com/;Aperam S.A.;29.44;40.51;0.73;0.73;0.73;0.7;0.21
FR001400CFI7;AVT.PA;Technology;Communication Equipment;https://corporate.avenir-telecom.com/;Avenir Telecom S.A.;0.0654;0.19;0.34;0.34;0.34;0.43;0.0
FR0000120966;BB.PA;Consumer Defensive;Household & Personal Products;https://fr.bic.com/fr;Société BIC SA;63.2;35.56;1.78;1.78;1.78;0.7;0.07
FR0013331212;ALDNE.PA;Communication Services;Electronic Gaming & Multimedia;https://dontnod-bourse.com/;Don't Nod Entertainment S.A.;1.075;4.38;0.25;0.25;0.25;0.89;0.0
FR0004030708;ALDUB.PA;Basic Materials;Specialty Chemicals;https://www.encresdubuit.com/;Encres Dubuit;2.62;5.82;0.45;0.81;0.4;1.0;2.35
BE0003818359;GLPG.AS;Healthcare;Biotechnology;https://www.glpg.com/;Galapagos NV;25.34;39.42;0.64;0.64;0.64;0.64;0.0
FR0000075442;ALLDL.PA;Technology;Electronics & Computer Distribution;https://www.groupe-ldlc.com/;Groupe LDLC société anonyme;8.45;6.36;1.33;6.04;5.52;0.45;0.24
FR0000038531;ALHF.PA;Technology;Communication Equipment;https://www.hfcompany.com/;HF Company SA;4.8;7.93;0.61;0.61;0.61;0.95;1.28
FR0000033904;JCQ.PA;Basic Materials;Steel;https://www.jacquetmetals.com/;Jacquet Metals SA;18.14;28.84;0.63;0.63;0.63;0.39;0.21
ALEMG.PA;ALEMG.PA;Healthcare;Medical Distribution;https://www.laboratoires-euromedis.fr/;Laboratoires Euromedis Société anonyme;4.2;11.25;0.37;0.45;0.37;1.05;0.27
FR0000053225;MMT.PA;Communication Services;Broadcasting;https://www.groupem6.fr/;Métropole Télévision S.A.;12.6;5.39;2.34;2.34;2.34;0.65;0.43
FR0010397232;ALNOV.PA;Healthcare;Medical Devices;https://www.novacyt.com/;Novacyt S.A.;0.597;0.79;0.76;1.07;0.73;0.97;0.0
FR0000061608;ALPDX.PA;Consumer Cyclical;Leisure;https://www.desjoyaux.com/;Piscines Desjoyaux SA;15.75;12.99;1.21;3.17;1.76;1.08;0.26
ALGIR.PA;ALGIR.PA;Industrials;Railroads;https://www.signaux-girod.fr/;Signaux Girod S.A.;16.6;43.81;0.38;0.84;0.3;0.73;0.42
FR001400N2P2;ALSPW.PA;Healthcare;Medical Instruments & Supplies;https://www.spineway.com/;Spineway SA;0.124;0.49;0.25;0.83;0.78;0.78;0.0
FR0010397901;ALTRI.PA;Industrials;Business Equipment & Supplies;https://www.trilogiq.com/;Trilogiq S.A.;6.6;10.76;0.61;0.61;0.61;0.89;0.0
FR0000031775;VCT.PA;Basic Materials;Building Materials;https://www.vicat.fr/;Vicat S.A.;47.4;30.87;1.54;-1.13;-28.55;0.47;0.11
EAPI.PA;EAPI.PA;Healthcare;Drug Manufacturers - Specialty & Generic;https://www.euroapi.com/en;Euroapi S.A.;2.812;9.33;0.3;0.91;0.39;0.59;0.0
FR0000038465;PSAT.PA;Consumer Cyclical;Specialty Retail;https://www.passat.fr/;Passat Société Anonyme;4.7;9.83;0.48;0.57;0.53;1.06;1.68
FR0000053027;AKW.PA;Consumer Cyclical;Auto Parts;https://akwel-automotive.com/;Akwel SA;7.3;21.61;0.34;0.7;0.42;0.83;0.3
FR0010609206;OREGE.PA;Industrials;Waste Management;https://www.orege.com/;Orege Société Anonyme;0.363;0.8;0.45;0.5;0.5;4.86;0.0
